element,level,t,r,theta,phi,pred spherical_coordinates_N1675k.csv
830566,40,0.49891794979268156,0.05622634071420058,-0.5740746533462111,1.8193640179220387,[684968 725481 751090]
843933,40,0.5009553646638082,0.0462123886188458,-0.5883389798897123,1.7082529281663885,[684968]
815384,41,0.49663055009452284,0.06653602968400647,-0.5221479004998825,1.7504883483452391,[774718]
832791,41,0.4992649328168587,0.07068582767017424,-0.5616569321884832,1.6798439089309134,[774718]
840170,41,0.5003979166598573,0.07419819872260575,-0.4678675827865824,1.787980525859634,[774718 786536]
863368,41,0.5038788700425229,0.07896083117871505,-0.5745798654532346,1.719994252482421,[774718]
868008,41,0.5046029614886578,0.07888391336189361,-0.48111780850656094,1.8272424352115084,[774718 786536]
895332,41,0.5088354848209276,0.06521711001448231,-0.3084099407528443,1.8731479241373008,[786536]
896983,41,0.5090955763245134,0.052347283764804374,-0.605081285363851,1.7061872180494586,[774718 830566 843933]
963760,42,0.5199325323890231,0.07304468682567297,-0.6291546465210048,2.0259557826579573,[815384]
1013261,42,0.5284966727913347,0.05936822094582605,-0.5752282324865478,1.8986201244384373,[815384 832791 840170 863368 868008 895332 896983]
1003690,43,0.5268033043583004,0.0707313058581582,-0.6751178128555774,2.00184080591796,[963760]
1065484,43,0.5380794969445116,0.06449614556620113,-0.4695355742990726,1.9687011424462815,[ 963760 1013261]
1087602,44,0.5424037598080993,0.06577248842900567,-0.4919945446656274,1.9195827399426553,[1003690 1065484]
1167048,45,0.5587919398369097,0.06754918412250811,-0.40820493435709715,1.8933503338204078,[1087602]
1206909,46,0.5677541719861959,0.06529274950360332,-0.3803224032574074,1.8616759163690406,[1167048]
1237075,47,0.5748813553121955,0.060190149178168464,-0.3639652245046838,1.80917345844243,[1206909]
1241451,47,0.5759336940038106,0.0700463880500489,-0.39649915814270414,1.8288477250560744,[1206909]
1302537,48,0.5917826077592564,0.06097484203878851,-0.43246732042093095,1.6719331926817493,[1237075 1241451]
1346663,49,0.6044579177756463,0.05673779078208526,-0.4770897461889425,1.4949760195993638,[1302537]
1374956,50,0.6132935890246817,0.05482960936349807,-0.49397176690057265,1.6300178042688611,[1346663]
1403342,51,0.6228249501263214,0.050151697045822625,-0.3699634046141705,1.7123197738141118,[1374956]
1416671,52,0.6274975226537426,0.05158612652075699,-0.33738808209265986,1.666489265808915,[1403342]
1457890,53,0.6433480449912325,0.04055699489182433,-0.5842447293116257,1.7007396839487159,[1416671]
1469298,53,0.648080105528205,0.05025383533920332,-0.14687132842868972,1.5521322402428925,[1416671]
1471319,53,0.6489714791039933,0.05926636624038146,-0.2268859199268658,1.3234677687080452,[1416671]
1484184,54,0.6546762933065429,0.03383089997324804,-0.3957439438621409,1.5842047120915101,[1457890]
1506356,54,0.665090433321876,0.047990949815398434,-0.07728771342712164,1.2155811698838908,[1469298 1471319]
1508177,54,0.6659590204892987,0.05271649336562118,-0.4235030235282837,1.2675002596559322,[1471319]
1509195,54,0.6664643686624714,0.039573092212150114,-0.08885105897854666,1.2626805260897183,[1469298]
1511777,55,0.6677847332808147,0.04098755688988534,-0.5007910814576716,1.5472981523294032,[1484184]
1519130,55,0.6715339586811265,0.04067381190810211,-0.2038191800034411,1.6722013758799226,[1484184]
1525329,55,0.6748280389514368,0.05269945538234509,-0.39926366567830246,1.3499153195091482,[1508177]
1530050,55,0.6774501246581924,0.042396100819139616,-0.03444509386524082,1.2398032581803629,[1484184 1506356 1509195]
1532146,55,0.6786492685874868,0.03951309909318821,-0.4315640855368223,1.052182674171454,[1484184]
1537016,55,0.6813921642029224,0.051968567606649856,-0.010603052127102287,1.3391111778654918,[1484184 1506356 1509195]
1546303,56,0.6868928348647304,0.03627808992264949,-0.5101407516085893,0.8859404325437433,[1532146]
1552320,56,0.6906009220780349,0.04372661713985655,-0.13771641496235945,1.124736131276408,[1530050]
1553366,56,0.6912384643586074,0.0528848025309741,-0.24243757780928288,1.2202489016997191,[1511777 1525329]
1556923,56,0.6935483445138722,0.03737095592987833,0.08381197590432603,1.2578354370107212,[1511777 1519130 1530050]
1557885,56,0.6941671671147788,0.04945833225845521,0.05935224215863574,1.145541273176657,[1530050 1537016]
1570071,57,0.7023658575769581,0.03642357819121526,0.0068359136457011044,1.270954943700167,[1552320 1556923]
1571759,57,0.7035312701877136,0.0536466330202423,-0.03975106739503927,1.0695340246836194,[1552320 1557885]
1572878,57,0.7043245373783713,0.02974423281424589,0.07143794221292143,1.005950719784115,[1546303]
1575089,57,0.7059676766052263,0.04696373555148963,-0.03993589132130208,1.0512550655436537,[1552320 1553366 1557885]
1579021,57,0.7089978793387951,0.05261585873497907,-0.1177271437563041,0.7394169428920363,[1546303]
1588109,58,0.7161011382138918,0.04148864399277814,0.13681210828592322,1.076514981952625,[1570071 1575089]
1590034,58,0.7176848419724172,0.024760579103155628,-0.31658143097566066,1.051903508544365,[1572878]
1596744,58,0.7235223229167892,0.044978176839952116,0.10088871518316973,0.815161290236163,[1570071 1571759 1572878 1575089 1579021]
